Timestamp,Throughput,LossRate,Latency,SendingRate,time,CCA
2024-05-30 07:36:53,7531048,3.76897920218e-05,0.0002770914215346,740788.0667693282,12.0,PCC
2024-05-30 07:36:54,7394936,3.53953784071e-05,0.0002540841891872,705727.2763553722,13.0,PCC
2024-05-30 07:36:55,6951848,3.3438081851e-05,0.0002650598958845,732259.1361274654,14.0,PCC
2024-05-30 07:36:56,6330656,3.18092840465e-05,0.0002780175926693,722867.4537332354,15.0,PCC
2024-05-30 07:36:57,5884672,3.04457217536e-05,0.0002704633318859,677627.4559146456,16.0,PCC
2024-05-30 07:36:58,5363392,2.92896309947e-05,0.0002756866999433,805457.5465981239,17.0,PCC
2024-05-30 07:36:59,5311264,2.82715021764e-05,0.000253443181152,860604.9796179608,18.0,PCC
2024-05-30 07:37:01,5401040,2.63754127233e-05,0.0004132051501124,833632.5323709203,20.0,PCC
2024-05-30 07:37:02,5057864,2.55629545298e-05,0.0001293783387834,777561.2651011662,21.0,PCC
2024-05-30 07:37:03,5348912,2.48031080984e-05,0.0001320198231446,791966.9501226422,22.0,PCC
2024-05-30 07:37:04,5101304,2.40838721014e-05,0.0001379186553466,790369.037352521,23.0,PCC
2024-05-30 07:37:05,5538600,2.33936409621e-05,0.0001445331864367,780343.4197537139,24.0,PCC
2024-05-30 07:37:06,5412624,2.27230257226e-05,0.0001469902660224,758450.945337605,25.0,PCC
2024-05-30 07:37:07,5321400,2.21021015027e-05,0.000160716759418,845866.8569954829,26.0,PCC
2024-05-30 07:37:08,5683400,2.14999380931e-05,0.0001624938218166,821530.9895539741,27.0,PCC
2024-05-30 07:37:09,5282304,2.09313393828e-05,0.0001488575871022,840709.8745164163,28.0,PCC
2024-05-30 07:37:10,5545840,2.03989108833e-05,0.0001608749320256,823198.9068713571,29.0,PCC
2024-05-30 07:37:11,5474888,1.98839973437e-05,0.000167163741661,838579.1462317987,30.0,PCC
2024-05-30 07:37:12,5364840,1.94023313794e-05,0.0001903247468906,800380.6907105559,31.0,PCC
2024-05-30 07:37:13,5569008,1.8939608444e-05,0.0001854262004989,823891.9047757772,32.0,PCC
2024-05-30 07:37:14,5332984,1.84995596657e-05,0.0001981700382969,846311.419748995,33.0,PCC
2024-05-30 07:37:15,5224384,1.80925127839e-05,0.0001916241313393,900435.5439009885,34.0,PCC
2024-05-30 07:37:16,5133160,1.77102102333e-05,0.000206340789399,866428.5642320147,35.0,PCC
2024-05-30 07:37:17,5361944,1.73390972262e-05,0.0002389576446496,862112.4385734509,36.0,PCC
2024-05-30 07:37:18,5535704,1.69698039488e-05,0.0002505189667707,868913.1298109164,37.0,PCC
2024-05-30 07:37:19,5189632,1.66212755487e-05,0.0002676467885261,810234.1721950491,38.0,PCC
2024-05-30 07:37:20,5453168,1.6289424204e-05,0.0002700872436763,842694.4938895315,39.0,PCC
2024-05-30 07:37:21,5334432,1.59662389158e-05,0.0002660537614585,825795.9187786852,40.0,PCC
2024-05-30 07:37:22,5583488,1.56520626842e-05,0.0002645470994584,777972.9342691496,41.0,PCC
2024-05-30 07:37:23,4978224,1.53595319946e-05,0.0002797465136123,855686.331879919,42.0,PCC
2024-05-30 07:37:24,5334432,1.50843741437e-05,0.0002769664834166,816815.9061374322,43.0,PCC
2024-05-30 07:37:25,5159224,1.48142463798e-05,0.0002747685905991,799861.3722089736,44.0,PCC
2024-05-30 07:37:26,5513984,1.45493602379e-05,0.0002553260672763,807912.1882752234,45.0,PCC
2024-05-30 07:37:27,5082480,1.42954420345e-05,0.0002729953528431,779605.9559711979,46.0,PCC
2024-05-30 07:37:28,5376424,1.40534566627e-05,0.0002646496847683,853596.2352599958,47.0,PCC
2024-05-30 07:37:29,5073792,1.38196448753e-05,0.0002609011414763,865763.4817786489,48.0,PCC
2024-05-30 07:37:30,5425656,1.35925158311e-05,0.0002609156813296,896599.9788591049,49.0,PCC
2024-05-30 07:37:31,5301128,1.33680297503e-05,0.0002760336543973,844597.4229813891,50.0,PCC
2024-05-30 07:37:32,5346016,1.31524425505e-05,0.0002529293047642,839011.5130701874,51.0,PCC
2024-05-30 07:37:33,5652992,1.29369166233e-05,0.0002769185741163,874385.5543867057,52.0,PCC
2024-05-30 07:37:34,5185288,1.27312601607e-05,0.0002480096859654,820181.0490587939,53.0,PCC
2024-05-30 07:37:35,5438688,1.25360106189e-05,0.0002767891106369,838090.6978657907,54.0,PCC
2024-05-30 07:37:36,5221488,1.23459567597e-05,0.0002834639855232,979366.2664578268,55.0,PCC
2024-05-30 07:37:37,5306920,1.21638491638e-05,0.0002703583578138,858372.9951866326,56.0,PCC
2024-05-30 07:37:38,5419864,1.19837820444e-05,0.0002671718213485,825702.5038986834,57.0,PCC
2024-05-30 07:37:39,5708016,1.18025249809e-05,0.0002703265452281,851358.6680225512,58.0,PCC
2024-05-30 07:37:40,5637064,1.16232620971e-05,0.0002656110389788,872734.3876256964,59.0,PCC
2024-05-30 07:37:41,5471992,1.14529192642e-05,0.0002651966102055,865487.2460864641,60.0,PCC
2024-05-30 07:37:42,5466200,1.12900149409e-05,0.0002789111992022,818770.4679033866,61.0,PCC
2024-05-30 07:37:43,5612448,1.1129687457e-05,0.00025781430256,898413.7770296381,62.0,PCC
2024-05-30 07:37:44,5046280,1.09796283701e-05,0.0002818313443776,909004.7288399724,63.0,PCC
2024-05-30 07:37:45,5249000,1.08385403124e-05,0.0002702249536317,810422.3350625264,64.0,PCC
2024-05-30 07:37:46,5515432,1.06948370363e-05,0.000272210461,891063.1653351485,65.0,PCC
2024-05-30 07:37:47,5182392,1.05557147529e-05,0.0002733847619691,862686.6610912291,66.0,PCC
2024-05-30 07:37:48,5021664,1.04263685218e-05,0.0002660778217653,893778.1113618008,67.0,PCC
2024-05-30 07:37:49,5292440,1.02988141887e-05,0.0002846676054715,852371.5331427092,68.0,PCC
2024-05-30 07:37:50,5366288,1.01702287548e-05,0.0002693114493057,775255.6296723094,69.0,PCC
2024-05-30 07:37:51,5483576,1.00426143243e-05,0.0002695369668964,802315.8953710023,70.0,PCC
2024-05-30 07:37:52,5369184,9.9181027242e-06,0.0002675729941807,854250.0025991542,71.0,PCC
2024-05-30 07:37:53,5670368,9.7945967442e-06,0.0002770914215346,851009.7236429722,72.0,PCC
2024-05-30 07:37:54,5537152,9.6723003674e-06,0.0002540841891872,843244.5748471011,73.0,PCC
2024-05-30 07:37:55,5557424,9.5542135608e-06,0.0002650598958845,914621.5395109472,74.0,PCC
2024-05-30 07:37:56,5403936,9.4403495283e-06,0.0002780175926693,829670.8411853001,75.0,PCC
2024-05-30 07:37:57,5246104,9.3322874746e-06,0.0002704633318859,839801.4422582432,76.0,PCC
2024-05-30 07:37:58,5603760,9.2247190542e-06,0.0002756866999433,804814.2874581518,77.0,PCC
2024-05-30 07:37:59,5383664,9.1182640226e-06,0.000253443181152,920753.0870378752,78.0,PCC
2024-05-30 07:38:01,5525568,8.9149366122e-06,0.0004132051501124,941023.9631613708,80.0,PCC
2024-05-30 07:38:02,5521224,8.8149495e-06,0.0001293783387834,850908.2746804236,81.0,PCC
2024-05-30 07:38:03,5305472,8.7190990954e-06,0.0001320198231446,847637.0560499254,82.0,PCC
2024-05-30 07:38:04,5427104,8.6261273718e-06,0.0001379186553466,798608.9708369181,83.0,PCC
2024-05-30 07:38:05,5450272,8.5339004287e-06,0.0001445331864367,879716.478620666,84.0,PCC
2024-05-30 07:38:06,5114336,8.4461821112e-06,0.0001469902660224,849232.5822886095,85.0,PCC
2024-05-30 07:38:07,5466200,8.3601394905e-06,0.000160716759418,823946.3236750776,86.0,PCC
2024-05-30 07:38:08,5315608,8.2742437582e-06,0.0001624938218166,854104.0867649436,87.0,PCC
2024-05-30 07:38:09,5602312,8.1890448731e-06,0.0001488575871022,832423.8406300753,88.0,PCC
2024-05-30 07:38:10,5063656,8.1074673379e-06,0.0001608749320256,837260.4438518033,89.0,PCC
2024-05-30 07:38:11,5243208,8.0301919784e-06,0.000167163741661,847603.2075009292,90.0,PCC
2024-05-30 07:38:12,5813720,7.9489163361e-06,0.0001903247468906,855439.2572692635,91.0,PCC
2024-05-30 07:38:13,5408280,7.8680693088e-06,0.0001854262004989,819410.4401885889,92.0,PCC
2024-05-30 07:38:14,5082480,7.7939623821e-06,0.0001981700382969,886572.3061787108,93.0,PCC
2024-05-30 07:38:15,5553080,7.7202621136e-06,0.0001916241313393,834980.4758758864,94.0,PCC
2024-05-30 07:38:16,5222936,7.6469898012e-06,0.000206340789399,810098.9689024484,95.0,PCC
